Reference,Qty,Value,DNP,Exclude from BOM,Exclude from Board,Footprint,Datasheet,JLCPCB Part #
"C1,C2,C3,C4,C5,C7,C8",7,10u,,,,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,~,C440198
C6,1,1u,,,,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,~,C28323
D1,1,Green LED,,,,LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,~,C2297
D2,1,Valve LED Indicator,,,,LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,~,C434433
D3,1,RED LED,,,,LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,~,C284871
J1,1,SEN0193_Soil_Moisture Connector,DNP,,,Connector_JST:JST_EH_S3B-EH_1x03_P2.50mm_Horizontal,~,
J2,1,2171750001,,,,217175-0001 USB Type C:MOLEX_2171750001,,C3197922
J3,1,BatteryConnector_Socket,,,,"TerminalBlock_Phoenix:TerminalBlock_Phoenix_MPT-0,5-2-2.54_1x02_P2.54mm_Horizontal",~,C918120
L1,1,1.5uH,,,,Inductor_SMD:L_1206_3216Metric,~,C2885920
"R1,R5",2,470,,,,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,C17710
"R2,R3,R9,R10",4,5.1k,,,,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,C27834
R4,1,1k,,,,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,C17513
R6,1,1.6k,,,,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,C2933328
"R7,R8",2,220k,,,,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,C17556
R11,1,287k,,,,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,C2933396
R12,1,51.1k,,,,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,C138264
U1,1,BME680_THT,DNP,,,Connector_PinSocket_2.54mm:PinSocket_1x06_P2.54mm_Vertical,https://www.joy-it.net/files/files/Produkte/SEN-BME680/SEN-BME680_Manual_2024-04-11.pdf,
U2,1,ESP32-C6-DevKitC-1,DNP,,,Espressif:ESP32-C6-DevKitC-1,https://docs.espressif.com/projects/espressif-esp-dev-kits/en/latest/esp32c6/esp32-c6-devkitc-1/user_guide.html,
U3,1,SCD40-D-R2,,,,Sensor:Sensirion_SCD4x-1EP_10.1x10.1mm_P1.25mm_EP4.8x4.8mm,https://sensirion.com/media/documents/E0F04247/631EF271/CD_DS_SCD40_SCD41_Datasheet_D1.pdf,C3659421
U4,1,TSL 2591_THT,DNP,,,Connector_PinSocket_2.54mm:PinSocket_1x06_P2.54mm_Vertical,https://ams.com/documents/20143/9331680/TSL2591_DS000338_7-00.pdf,
U5,1,TP4057,,,,Package_TO_SOT_SMD:TSOT-23-6,http://toppwr.com/uploadfile/file/20230304/640302a47b738.pdf,C725791
U6,1,TPS63036YFGR,,,,TPS63036YFGR:BGA8N40P4X2_181X107X62N,,C283955
